Run,Generation,BestFitness
1,143,803,0000
1,144,803,0000
1,145,803,0000
1,146,809,0000
1,147,810,0000
1,148,810,0000
1,149,810,0000
1,150,810,0000
1,151,810,0000
1,152,811,0000
1,153,817,0000
1,154,817,0000
1,155,817,0000
1,156,817,0000
1,157,820,0000
1,158,831,0000
1,159,831,0000
1,160,833,0000
1,161,834,0000
1,162,834,0000
1,163,834,0000
1,164,834,0000
1,165,840,0000
1,166,840,0000
1,167,840,0000
1,168,840,0000
1,169,847,0000
1,170,850,0000
1,171,858,0000
1,172,858,0000
1,173,858,0000
1,174,858,0000
1,175,862,0000
1,176,862,0000
1,177,862,0000
1,178,865,0000
1,179,865,0000
1,180,865,0000
1,181,865,0000
1,182,865,0000
1,183,865,0000
1,184,865,0000
1,185,865,0000
1,186,865,0000
1,187,865,0000
1,188,867,0000
1,189,877,0000
1,190,877,0000
1,191,877,0000
1,192,878,0000
1,193,878,0000
1,194,878,0000
1,195,879,0000
1,196,879,0000
1,197,882,0000
1,198,882,0000
1,199,882,0000
1,200,884,0000
1,201,884,0000
1,202,884,0000
1,203,884,0000
1,204,884,0000
1,205,884,0000
1,206,887,0000
1,207,895,0000
1,208,895,0000
1,209,895,0000
1,210,895,0000
1,211,899,0000
1,212,899,0000
1,213,899,0000
1,214,899,0000
1,215,903,0000
1,216,903,0000
1,217,903,0000
1,218,903,0000
1,219,903,0000
1,220,903,0000
1,221,903,0000
1,222,903,0000
1,223,903,0000
1,224,909,0000
1,225,909,0000
1,226,909,0000
1,227,913,0000
1,228,913,0000
1,229,913,0000
1,230,913,0000
1,231,913,0000
1,232,913,0000
1,233,915,0000
1,234,915,0000
1,235,915,0000
1,236,918,0000
1,237,918,0000
1,238,919,0000
1,239,924,0000
1,240,924,0000
1,241,924,0000
1,242,924,0000
1,243,925,0000
1,244,925,0000
1,245,925,0000
1,246,925,0000
1,247,926,0000
1,248,929,0000
1,249,931,0000
1,250,931,0000
1,251,934,0000
1,252,934,0000
1,253,937,0000
1,254,937,0000
1,255,937,0000
1,256,937,0000
1,257,937,0000
1,258,937,0000
1,259,937,0000
1,260,937,0000
1,261,937,0000
1,262,937,0000
1,263,937,0000
1,264,939,0000
1,265,939,0000
1,266,942,0000
1,267,942,0000
1,268,942,0000
1,269,942,0000
1,270,945,0000
1,271,945,0000
1,272,945,0000
1,273,947,0000
1,274,948,0000
1,275,949,0000
1,276,949,0000
1,277,949,0000
1,278,949,0000
1,279,949,0000
1,280,949,0000
1,281,949,0000
1,282,949,0000
1,283,949,0000
1,284,949,0000
1,285,950,0000
1,286,950,0000
1,287,950,0000
1,288,959,0000
1,289,959,0000
1,290,959,0000
1,291,959,0000
1,292,959,0000
1,293,959,0000
1,294,960,0000
1,295,960,0000
1,296,960,0000
1,297,960,0000
1,298,960,0000
1,299,960,0000
1,300,962,0000
1,301,962,0000
1,302,962,0000
1,303,962,0000
1,304,962,0000
1,305,962,0000
1,306,962,0000
1,307,965,0000
1,308,967,0000
1,309,969,0000
1,310,969,0000
1,311,969,0000
1,312,969,0000
1,313,969,0000
1,314,969,0000
